building_id,n_rows,n_obs,coverage,n_zero,zero_frac,n_neg,median,p99,max_gap_h,n_gap_ge6,flat_max_h,site_id
Panther_office_Clementine,17544,5798,0.33048335613315094,121,0.020869265263884097,0,272.1539,630.9022,6590,15,10,Panther
Panther_lodging_Cora,17544,13995,0.7977086183310533,434,0.031011075384065737,0,668.0141,2041.1542,1425,21,388,Panther
Panther_education_Teofila,17544,15473,0.8819539443684451,2773,0.17921540748400439,0,804.091,1880.336,1425,5,1753,Panther
Panther_education_Jerome,17544,16023,0.9133036935704515,145,0.009049491356175497,0,2535.9795,4069.9378,1425,4,11,Panther
Panther_retail_Kristina,17544,15945,0.9088577291381669,8513,0.5338977735967388,0,0.0,1039.1331,1425,7,1840,Panther
Panther_education_Neal,17544,16020,0.9131326949384405,2778,0.17340823970037453,0,494.8253,1682.4059,1425,4,1309,Panther
Panther_lodging_Kara,17544,15999,0.9119357045143639,406,0.025376586036627288,0,952.5386,2078.2661,1425,6,393,Panther
Panther_office_Garth,17544,14963,0.8528841769265846,1858,0.12417295996792087,0,358.7483,754.6085,2487,4,18,Panther
Panther_office_Lavinia,17544,16015,0.9128476972184223,70,0.004370902279113331,0,37.1119,86.5944,1425,5,23,Panther
Panther_education_Enriqueta,17544,16023,0.9133036935704515,3282,0.20483055607564127,0,445.3427,1100.9862,1425,4,263,Panther
Panther_lodging_Marisol,17544,13351,0.761000911992704,893,0.06688637555239307,0,964.9093,2201.9724,2938,7,859,Panther
Panther_education_Aurora,17544,16025,0.9134176926584587,190,0.01185647425897036,0,618.5316,2211.3741320000026,1425,4,27,Panther
Panther_lodging_Kirk,17544,15516,0.884404924760602,1146,0.07385924207269914,0,1150.4688,2004.0423,1425,7,355,Panther
Panther_education_Vincent,17544,15900,0.9062927496580028,3116,0.1959748427672956,0,890.6855,2164.8606,1425,4,601,Panther
Panther_office_Brent,17544,16025,0.9134176926584587,2739,0.1709204368174727,0,74.2238,123.7063,1425,4,157,Panther
Panther_office_Karla,17544,16020,0.9131326949384405,2818,0.17590511860174782,0,185.5595,569.049,1425,4,746,Panther
Panther_education_Quintin,17544,16025,0.9134176926584587,1595,0.09953198127925117,0,1336.0282,2709.1683,1425,4,146,Panther
Panther_other_Bettie,17544,13902,0.792407660738714,2,0.00014386419220256078,0,828.8323,1088.6156,2212,2,7,Panther
Panther_education_Annetta,17544,14729,0.8395462836297309,2850,0.19349582456378572,0,309.2658,1521.5877,1425,6,1440,Panther
Panther_education_Ivan,17544,15624,0.8905608755129959,1641,0.10503072196620583,0,779.3498,1830.8535,1425,6,1277,Panther
Panther_office_Graham,17544,15686,0.8940948472412221,1064,0.0678311870457733,0,482.4546,1286.5457,1425,5,18,Panther
Panther_education_Emily,17544,16018,0.9130186958504332,937,0.05849669122237483,0,754.6085,1521.5877,1425,4,10,Panther
Panther_education_Cleopatra,17544,16022,0.9132466940264478,4099,0.2558357258769192,0,98.9651,395.8602,1425,4,35,Panther
Panther_office_Christian,17544,16018,0.9130186958504332,357,0.02228742664502435,0,185.5595,445.3427,1425,4,17,Panther
Panther_education_Zelda,17544,15974,0.9105107159142727,2758,0.1726555652936021,0,346.3777,1162.8394,1425,6,459,Panther
Fox_lodging_Stephen,17544,17543,0.9999430004559964,369,0.021034030667502708,0,492.7504,1362.4327039999996,1,0,76,Fox
Fox_lodging_Stephan,17544,17528,0.9990880072959416,1893,0.10799863076220903,0,263.1961,717.324174,13,1,184,Fox
Fox_office_Israel,17544,17543,0.9999430004559964,755,0.0430371088183321,0,588.9753,3015.2665859999966,1,0,226,Fox
Fox_education_Lilly,17544,17542,0.9998860009119928,92,0.00524455592292783,0,774.93175,4541.260422,1,0,91,Fox
Fox_education_Gayla,17544,17541,0.999829001367989,8380,0.4777378712730175,0,6.5551,1586.3990799999995,1,0,7140,Fox
Fox_lodging_Warren,17544,17542,0.9998860009119928,3912,0.22300763880971383,0,336.3542,897.3598320000001,1,0,375,Fox
Fox_education_Andre,17544,17543,0.9999430004559964,6,0.0003420167588211822,0,2835.2940000000003,8643.713447999993,1,0,128,Fox
Fox_retail_Manie,17544,17543,0.9999430004559964,33,0.0018810921735165024,0,260.1041,1021.532083999999,1,0,7,Fox
Fox_assembly_Emma,17544,17541,0.999829001367989,76,0.004332706231115672,0,1451.4121,3710.2475999999956,1,0,70,Fox
Fox_office_Margarita,17544,17539,0.9997150022799818,3770,0.21494954102286334,0,142.3582,383.49196999999987,1,0,1413,Fox
Fox_lodging_Frances,17544,17542,0.9998860009119928,444,0.025310682932390832,0,686.12775,1522.231442,1,0,178,Fox
Fox_office_Demetrius,17544,17541,0.999829001367989,35,0.0019953252380137962,0,344.7026,2588.99288,1,0,15,Fox
Fox_office_Berniece,17544,17541,0.999829001367989,119,0.006784105809246908,0,147.553,548.2344199999999,1,0,105,Fox
Fox_office_Alice,17544,17542,0.9998860009119928,2,0.00011401208528103979,0,2473.3374999999996,6556.147233,1,0,2,Fox
Fox_education_Leota,17544,17541,0.999829001367989,34,0.0019383159454991164,0,524.5368,2616.7719799999995,1,0,22,Fox
Fox_assembly_Adrianne,17544,17543,0.9999430004559964,494,0.028159379809610672,0,997.8693,5982.569237999996,1,0,311,Fox
Fox_lodging_Morris,17544,17543,0.9999430004559964,16,0.0009120446901898193,0,223.7413,539.3267299999998,1,0,7,Fox
Fox_education_Theodore,17544,17544,1.0,178,0.010145918832649339,0,1489.1352,5580.642478999997,0,0,166,Fox
Fox_education_Dewayne,17544,17542,0.9998860009119928,4140,0.23600501653175238,0,62.8925,2409.6721800000005,1,0,312,Fox
Fox_assembly_Johnnie,17544,17543,0.9999430004559964,143,0.00815139941857151,0,2180.396,5513.669461999996,1,0,94,Fox
