building_id,n_rows,n_error,n_warn,error_frac,verdict,R001,R002,R003,R004,R005,R006,site_id,coverage,nonzero_frac
Panther_education_Jerome,17544,1515,6,0.08635430916552668,Reject,0,0,0,0,6,1515,Panther,0.9133,0.991
Panther_retail_Kristina,17544,1587,13,0.09045827633378933,Reject,0,0,1,0,12,1587,Panther,0.9089,0.4661
Panther_education_Neal,17544,1517,10,0.08646830825353397,Reject,0,1,2,0,8,1516,Panther,0.9131,0.8266
Panther_lodging_Kara,17544,1540,7,0.08777929776561788,Reject,0,0,2,0,5,1540,Panther,0.9119,0.9746
Panther_office_Lavinia,17544,1522,7,0.08675330597355221,Reject,0,0,0,0,7,1522,Panther,0.9128,0.9956
Panther_education_Enriqueta,17544,1516,5,0.08641130870953033,Reject,0,0,0,0,5,1516,Panther,0.9133,0.7952
Panther_education_Aurora,17544,1515,5,0.08635430916552668,Reject,0,0,1,0,4,1515,Panther,0.9134,0.9881
Panther_education_Vincent,17544,1516,129,0.08641130870953033,Reject,0,0,1,0,128,1516,Panther,0.9063,0.804
Panther_office_Brent,17544,1515,4,0.08635430916552668,Reject,0,0,0,0,4,1515,Panther,0.9134,0.8291
Panther_office_Karla,17544,1516,51,0.08641130870953033,Reject,0,0,43,0,8,1516,Panther,0.9131,0.8241
Panther_education_Quintin,17544,1515,51,0.08635430916552668,Reject,0,0,47,0,4,1515,Panther,0.9134,0.9005
Panther_education_Emily,17544,1516,10,0.08641130870953033,Reject,0,0,0,0,10,1516,Panther,0.913,0.9415
Panther_education_Cleopatra,17544,1516,25,0.08641130870953033,Reject,0,1,18,0,7,1515,Panther,0.9132,0.7442
Panther_office_Christian,17544,1515,11,0.08635430916552668,Reject,0,0,0,0,11,1515,Panther,0.913,0.9777
Panther_education_Zelda,17544,1562,8,0.08903328773369813,Reject,0,0,0,0,8,1562,Panther,0.9105,0.8273
Fox_lodging_Stephen,17544,0,139,0.0,Conditional,0,0,138,0,1,0,Fox,0.9999,0.979
Fox_lodging_Stephan,17544,13,314,0.0007409940720474236,Conditional,0,0,311,0,3,13,Fox,0.9991,0.892
Fox_office_Israel,17544,0,446,0.0,Conditional,0,0,445,0,1,0,Fox,0.9999,0.957
Fox_education_Lilly,17544,0,30,0.0,Conditional,0,0,28,0,2,0,Fox,0.9999,0.9948
Fox_education_Gayla,17544,0,159,0.0,Conditional,0,0,156,0,3,0,Fox,0.9998,0.5223
Fox_lodging_Warren,17544,69,88,0.00393296853625171,Conditional,0,0,86,69,2,0,Fox,0.9999,0.777
Fox_education_Andre,17544,296,2,0.0168718650250798,Conditional,0,0,1,296,1,0,Fox,0.9999,0.9997
Fox_retail_Manie,17544,0,78,0.0,Conditional,0,0,77,0,1,0,Fox,0.9999,0.9981
Fox_assembly_Emma,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9957
Fox_office_Margarita,17544,2,43,0.00011399908800729594,Conditional,0,2,38,0,5,0,Fox,0.9997,0.7851
Fox_lodging_Frances,17544,0,3,0.0,Conditional,0,0,1,0,2,0,Fox,0.9999,0.9747
Fox_office_Demetrius,17544,0,76,0.0,Conditional,0,0,73,0,3,0,Fox,0.9998,0.998
Fox_office_Berniece,17544,0,6,0.0,Conditional,0,0,3,0,3,0,Fox,0.9998,0.9932
Fox_office_Alice,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9999
Fox_education_Leota,17544,0,21,0.0,Conditional,0,0,18,0,3,0,Fox,0.9998,0.9981
Fox_assembly_Adrianne,17544,0,14,0.0,Conditional,0,0,13,0,1,0,Fox,0.9999,0.9718
Fox_lodging_Morris,17544,0,1,0.0,Conditional,0,0,0,0,1,0,Fox,0.9999,0.9991
Fox_education_Theodore,17544,0,0,0.0,Pass,0,0,0,0,0,0,Fox,1.0,0.9899
Fox_education_Dewayne,17544,0,100,0.0,Conditional,0,0,98,0,2,0,Fox,0.9999,0.764
Fox_assembly_Johnnie,17544,0,10,0.0,Conditional,0,0,9,0,1,0,Fox,0.9999,0.9918
Fox_education_Jacqueline,17544,0,1,0.0,Conditional,0,0,0,0,1,0,Fox,0.9999,0.7742
Fox_education_Yolande,17544,0,9,0.0,Conditional,0,0,8,0,1,0,Fox,0.9999,0.9999
Fox_education_Lesley,17544,0,1158,0.0,Conditional,0,0,1155,0,3,0,Fox,0.9998,0.9965
Fox_assembly_Renna,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9999
Fox_lodging_Wallace,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9998
Fox_education_Maris,17544,7584,248,0.4322845417236662,Reject,0,0,245,7584,3,0,Fox,0.9998,0.8626
Fox_education_John,17544,288,636,0.016415868673050615,Conditional,0,0,635,288,1,0,Fox,0.9999,0.9766
Fox_food_Scott,17544,244,103,0.013907888736890105,Conditional,0,244,102,0,1,0,Fox,0.9999,0.9924
Fox_education_Marcelina,17544,0,517,0.0,Conditional,0,0,516,0,1,0,Fox,0.9999,0.3125
Fox_utility_Marian,17544,0,1,0.0,Conditional,0,0,0,0,1,0,Fox,0.9999,0.9932
Fox_education_Sterling,17544,0,208,0.0,Conditional,0,0,203,0,5,0,Fox,0.9997,0.8064
Fox_education_Elvira,17544,0,110,0.0,Conditional,0,0,107,0,3,0,Fox,0.9998,0.995
Fox_lodging_Isabell,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9558
Fox_education_Ollie,17544,0,2,0.0,Conditional,0,0,1,0,1,0,Fox,0.9999,0.7094
Fox_education_Elois,17544,2,354,0.00011399908800729594,Conditional,0,2,349,0,5,0,Fox,0.9997,0.7109
Fox_education_Melinda,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9892
Fox_education_Geoffrey,17544,0,11,0.0,Conditional,0,0,8,0,3,0,Fox,0.9998,0.9324
Fox_public_Bart,17544,0,108,0.0,Conditional,0,0,106,0,2,0,Fox,0.9999,0.9929
Fox_lodging_Angla,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9967
Fox_education_Janina,17544,13,68,0.0007409940720474236,Conditional,0,0,65,0,3,13,Fox,0.9991,0.9275
Fox_education_Burton,17544,4,84,0.00022799817601459188,Conditional,0,4,83,0,1,0,Fox,0.9999,0.9837
Fox_office_Karima,17544,0,434,0.0,Conditional,0,0,433,0,1,0,Fox,0.9999,0.8392
Fox_assembly_Cathy,17544,0,7,0.0,Conditional,0,0,5,0,2,0,Fox,0.9999,0.9093
Fox_office_Zachary,17544,0,170,0.0,Conditional,0,0,169,0,1,0,Fox,0.9999,0.9933
Fox_education_Gloria,17544,6202,86,0.3535111719106247,Reject,0,0,83,6202,3,0,Fox,0.9998,0.9996
Fox_education_Nilda,17544,0,381,0.0,Conditional,0,0,380,0,1,0,Fox,0.9999,0.9591
Fox_education_Ashli,17544,0,21,0.0,Conditional,0,0,19,0,2,0,Fox,0.9999,0.8311
Fox_health_Lorena,17544,0,793,0.0,Conditional,0,0,792,0,1,0,Fox,0.9999,0.9663
Fox_lodging_Helen,17544,0,1,0.0,Conditional,0,0,0,0,1,0,Fox,0.9999,0.9956
Fox_education_Long,17544,0,11,0.0,Conditional,0,0,10,0,1,0,Fox,0.9999,0.9645
Fox_education_Louie,17544,0,15,0.0,Conditional,0,0,13,0,2,0,Fox,0.9999,0.9999
Fox_lodging_Jina,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,1.0
Fox_education_Shaun,17544,30,533,0.001709986320109439,Conditional,0,0,532,30,1,0,Fox,0.9999,0.8297
Fox_education_Kim,17544,0,56,0.0,Conditional,0,0,55,0,1,0,Fox,0.9999,0.9269
Fox_education_Otilia,17544,13,3,0.0007409940720474236,Conditional,0,0,0,0,3,13,Fox,0.9991,0.9995
Fox_lodging_Alana,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,1.0
Fox_education_Tonya,17544,0,3,0.0,Conditional,0,0,0,0,3,0,Fox,0.9998,0.9932
Fox_education_Elizabeth,17544,0,21,0.0,Conditional,0,0,19,0,2,0,Fox,0.9999,0.9605
Fox_office_Juana,17544,0,1242,0.0,Conditional,0,0,1241,0,1,0,Fox,0.9999,0.6937
Fox_assembly_Boyce,17544,13,3,0.0007409940720474236,Conditional,0,0,0,0,3,13,Fox,0.9991,0.9909
Fox_education_Eddy,17544,0,2,0.0,Conditional,0,0,0,0,2,0,Fox,0.9999,0.9999
Fox_education_Melvin,17544,281,13,0.01601687186502508,Conditional,0,0,11,281,2,0,Fox,0.9999,0.9712
