hour_ahead,sn_day,sn_week,lgbm_lagged,lgbm_perfect
1,63.1,108.5,52.6,63.2
2,65.3,110.7,57.0,66.7
3,59.7,106.1,54.2,63.7
4,58.8,104.2,55.1,63.5
5,57.6,100.5,55.2,62.9
6,62.6,106.9,59.9,65.4
7,68.9,114.0,63.6,68.8
8,89.0,139.7,78.4,81.9
9,107.1,158.8,95.1,92.0
10,127.7,176.7,114.0,107.9
11,142.8,182.1,127.9,119.2
12,148.6,182.9,133.1,124.3
13,153.5,181.7,136.1,126.2
14,174.0,198.2,142.9,131.7
15,163.5,198.1,144.9,130.9
16,175.7,214.5,158.5,143.8
17,158.8,189.1,151.8,144.8
18,138.5,178.1,144.0,134.3
19,112.6,157.6,126.4,118.8
20,83.6,133.7,110.4,108.5
21,78.1,124.0,102.1,104.0
22,67.6,117.9,92.5,95.0
23,74.1,120.5,97.5,103.7
24,71.4,117.0,93.3,98.9
